claim_id,gold_label,model_only_verdict,infact_attacked_verdict,lead_idx,lead,why_missing,search_query,doc_rank,doc_url,doc_distance,is_gold,is_fake,doc_snippet
0,Refuted,Supported,refuted,0,Apple's 'Think Different' advertising campaign launched in 1997.,not retrieved,Apple 'Think Different' campaign launched 1997,0,https://medium.com/ad-discovery-and-creativity-lab/think-different-b566c2e6117f,15.560620307922363,False,False,"This week we decided to go vintage and analyze an old-special campaign from Apple, the distinguished “Think Different” which launched in 1997.
This slogan changed the way we see campaigns, ads, posters and of course the way we see computers and technology.
Although it’s not grammatically correct, as"
0,Refuted,Supported,refuted,0,Apple's 'Think Different' advertising campaign launched in 1997.,not retrieved,Apple 'Think Different' campaign launched 1997,1,https://www.lindemancollective.com/what-makes-apples-think-different-the-goat-of-advertising-campaigns/,16.252376556396484,False,False,"What makes Apple’s “Think Different” the GOAT of advertising campaigns
The GOAT. Lately, it seems you can’t walk by a water cooler, scan the local radio dial or scroll through YouTube without hearing a passionate debate over which athlete should be given the title as the greatest of all time.
Lebron"
0,Refuted,Supported,refuted,0,Apple's 'Think Different' advertising campaign launched in 1997.,not retrieved,Apple 'Think Different' campaign launched 1997,2,https://www.creativereview.co.uk/apple-think-different-slogan/,17.037811279296875,False,False,"It’s easy to forget just what a perilous state Apple was in when Steve Jobs returned to the company in 1996.
In those pre-iMac, pre-i-anything days, there were widespread predictions that the company would soon disappear.
While he waited on the stream of new products that would ultimately revive the"
0,Refuted,Supported,refuted,0,Apple's 'Think Different' advertising campaign launched in 1997.,not retrieved,Apple 'Think Different' campaign launched 1997,3,https://creativecriminals.com/celebrities/apple/think-different,17.05296516418457,False,False,"In memory of Steve Jobs we would like to share the story of one of the most successful campaigns in the history of advertising.
It’s the story of Apple’s ‘Think different’ campaign. We are not only talking about an original idea or a beautiful ad, the campaign actually worked, and how… During the 90"
0,Refuted,Supported,refuted,0,Apple's 'Think Different' advertising campaign launched in 1997.,not retrieved,Apple 'Think Different' campaign launched 1997,4,https://www.ipl.org/essay/Apple-Advertisement-Analysis-FJ8DXGXKRG,17.08226776123047,False,False,"Apple is one of the well-known electronics brand in the world. Millions of people were waiting in the line to get their new phone devices at the Apple store.
This tiny device has many impressive characteristics that attract consumers. Every year the company comes out with new device features with a "
0,Refuted,Supported,refuted,1,Steve Jobs wanted Sean Connery to provide the voiceover for the 'Think Different' television commercial.,only fake evidence,Steve Jobs wanted Sean Connery for Think Different voiceover,0,https://www.cnet.com/culture/fake-sean-connery-letter-to-steve-jobs-goes-viral/,17.318784713745117,False,False,"Faux 007 launching expletives at Apple icon fools British social-media guru and becomes meme material.
First, the bad news. Sean Connery never actually sent a typewritten letter to Steve Jobs in 1998 refusing to be in an Apple ad.
But the awesome news is that quite a few people believe Connery owns "
0,Refuted,Supported,refuted,1,Steve Jobs wanted Sean Connery to provide the voiceover for the 'Think Different' television commercial.,only fake evidence,Steve Jobs wanted Sean Connery for Think Different voiceover,1,https://www.businessinsider.com/james-bond-sean-connery-steve-jobs-apple-letter-2011-6,17.434938430786133,False,False,"This is a letter Sean Connery wrote didn't write in response to Steve Jobs after being asked to appear in an Apple ad.
Honestly, we're not sure it's legit. The ""007"" at the bottom-right corner and the ""I am fucking JAMES BOND"" seem a bit rich.
But it's still hilarious. And it's refreshing to see som"
0,Refuted,Supported,refuted,1,Steve Jobs wanted Sean Connery to provide the voiceover for the 'Think Different' television commercial.,only fake evidence,Steve Jobs wanted Sean Connery for Think Different voiceover,2,https://www.snopes.com/fact-check/false-sean-connery-letter-to-apple/,17.5135498046875,False,False,"An image of a purported 1998 letter from actor Sean Connery (famous for his portrayal of agent James Bond) to Apple CEO Steve Jobs, caustically rebuffing an offer to become a pitchman for Apple Computers, hit the Internet in June 2011.
Despite the letter's seeming verisimilitude, it was merely a bit"
0,Refuted,Supported,refuted,1,Steve Jobs wanted Sean Connery to provide the voiceover for the 'Think Different' television commercial.,only fake evidence,Steve Jobs wanted Sean Connery for Think Different voiceover,3,https://www.dailymail.co.uk/news/article-2006317/Sean-Connery-letter-Steve-Jobs-rejecting-offer-appear-Apple-ad-revealed-fake.html,17.709354400634766,False,False,"'I am f****** James Bond': Sean Connery letter to Steve Jobs rejecting offer to appear in Apple ad revealed to be fake
Thousands of James Bond fans were today taken in by a spoof letter from Sean Conney to Apple boss Steve Jobs in which the film star launches a rant at the computer chief.
The faked "
0,Refuted,Supported,refuted,1,Steve Jobs wanted Sean Connery to provide the voiceover for the 'Think Different' television commercial.,only fake evidence,Steve Jobs wanted Sean Connery for Think Different voiceover,4,https://www.mi6-hq.com/news/index.php?itemid=9532,17.940462112426758,False,False,"Fake Sean Connery / Steve Jobs letter becomes top Twitter trending topic
A 'letter' from Sean Connery to Steve Jobs was a top trending topic on Twitter today thanks to an unwitting tweet from a marketing executive who thought it was genuine.
The phony letter, in which 'Connery' uses some salty langu"
