claim_id,claim,gold_label,predicted_verdict,parse_ok,evidence_idx,evidence_statement,search_query,doc_rank,doc_url,doc_distance,is_gold,doc_snippet
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","0","Sean Connery was a renowned actor, famous for portraying James Bond in several films.","Sean Connery actor biography","0","https://www.imdb.com/name/nm0000125/","15.17589282989502","False","The tall, handsome and muscular Scottish actor Sean Connery is best known as the original actor to portray James Bond in the hugely successful movie franchise, starring in seven films between 1962 and 1983.
Some believed that such a career-defining role might leave him unable to escape it, but he pr"
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","0","Sean Connery was a renowned actor, famous for portraying James Bond in several films.","Sean Connery actor biography","1","https://www.ocregister.com/2020/10/31/actor-sean-connery-the-original-james-bond-dies-at-90/","15.552481651306152","False","LONDON — Scottish actor Sean Connery, the first actor to play James Bond on film and for many fans the best, has died.
Bond producers EON Productions confirmed his death, first reported by the BBC. Producers Michael G. Wilson and Barbara Broccoli said they were “devastated by the news.”
“He was and "
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","0","Sean Connery was a renowned actor, famous for portraying James Bond in several films.","Sean Connery actor biography","2","https://www.theguardian.com/film/2020/oct/31/sean-connery-james-bond-actor-dies-aged-90","15.680377006530762","False","Sean Connery, the Scottish actor best known for his portrayal of James Bond, has died aged 90. His son, Jason, said he had died peacefully in his sleep, having been “unwell for some time”.
He was admired by generations of film fans as the original and best 007, and went on to create a distinguished "
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","0","Sean Connery was a renowned actor, famous for portraying James Bond in several films.","Sean Connery actor biography","3","https://www.insidehook.com/film/sean-connery-dead-90","15.848073959350586","False","Sir Sean Connery, the Scottish-born actor who brought Ian Fleming’s British spy James Bond to the big screen and made him into one of the most iconic characters in film history, has died at the age of 90.
While no immediate cause of death was given, his family said he had been “unwell for some time,"
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","0","Sean Connery was a renowned actor, famous for portraying James Bond in several films.","Sean Connery actor biography","4","https://www.voanews.com/a/arts-culture_former-james-bond-actor-sean-connery-dies-aged-9/6197821.html","16.082294464111328","False","Scottish movie legend Sean Connery, who shot to international stardom as the suave, sexy and sophisticated British agent James Bond and went on to grace the silver screen for four decades, has died aged 90.
The BBC and Sky News reported his death on Saturday. “I was heartbroken to learn this morning"
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","1","Steve Jobs was the co-founder and longtime CEO of Apple Inc., known for his role in technology and marketing.","Steve Jobs Apple Inc career","0","https://www.investopedia.com/articles/fundamental-analysis/12/steve-jobs-apple-story.asp","19.381990432739258","False","On Aug. 2, 2018, Apple (AAPL) made history by becoming the world's first publicly traded company to achieve a market capitalization of $1 trillion.
On April 30, 2019, Microsoft (MSFT) joined Apple's exclusive club, also catapulting past the $1 trillion mark.
On Jan. 16, 2020, Alphabet (GOOGL) became"
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","1","Steve Jobs was the co-founder and longtime CEO of Apple Inc., known for his role in technology and marketing.","Steve Jobs Apple Inc career","1","https://www.forbes.com/sites/davidcoursey/2011/10/12/steve-jobs-was-a-jerk-you-shouldnt-be/","20.64530372619629","False","Steve Jobs was a major, world-class jerk. A friend who knows about these things -- but not Steve -- wonders if he wasn't at least a borderline sociopath.
If you define that as someone who does evil things and doesn't feel remorse, the picture of a smirking Steve Jobs does begin to emerge.
Jobs was b"
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","1","Steve Jobs was the co-founder and longtime CEO of Apple Inc., known for his role in technology and marketing.","Steve Jobs Apple Inc career","2","https://blog.aventure-apple.com/2019/03/02/sean-connery-a-t-il-envoye-balader-steve-jobs/","21.098373413085938","False","C’est un courrier qui est devenu viral en 2011. Une simple lettre adressée par Sean Connery à Steve Jobs le 11 décembre 1998, dans laquelle l’acteur ayant incarné l’agent secret James Bond de 1962 à 1971, priait Steve Jobs de ne plus insister pour le voir apparaître dans une publicité de la marque ("
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","1","Steve Jobs was the co-founder and longtime CEO of Apple Inc., known for his role in technology and marketing.","Steve Jobs Apple Inc career","3","https://thisisnotadvertising.wordpress.com/2011/09/05/apple-think-different/","21.210956573486328","False","Apple – Think DifferentPosted: September 5, 2011 Filed under: Cannes Lions, Case History, Copywriting, Legendary, Press/Outdoor, TV/Film, USA | Tags: Albert Einstein, Alfred Hitchcock, Apple, Bob Dylan, Case History, Craig Tanimoto, Jennifer Golub, Jerry Seinfeld, John Lennon, Lee Clow, Mahatma Gand"
"0","In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.","Refuted","Not Enough Evidence","True","1","Steve Jobs was the co-founder and longtime CEO of Apple Inc., known for his role in technology and marketing.","Steve Jobs Apple Inc career","4","https://hbr.org/2012/04/the-real-leadership-lessons-of-steve-jobs","21.304609298706055","False","His saga is the entrepreneurial creation myth writ large: Steve Jobs cofounded Apple in his parents’ garage in 1976, was ousted in 1985, returned to rescue it from near bankruptcy in 1997, and by the time he died, in October 2011, had built it into the world’s most valuable company.
Along the way he"
